"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"All Sites Combined"	"00"	"Alabama"	"01"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	664	320483	294.1	207.2
	"All Sites Combined"	"00"	"Alabama"	"01"	"Female"	"F"	"Black or African American"	"2054-5"	26509	7866002	365.2	337.0
	"All Sites Combined"	"00"	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	99303	20181987	393.6	492.0
	"All Sites Combined"	"00"	"Alabama"	"01"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	451	298622	335.6	151.0
	"All Sites Combined"	"00"	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	30565	6843834	610.8	446.6
	"All Sites Combined"	"00"	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	115291	19486260	547.8	591.7
	"All Sites Combined"	"00"	"Alaska"	"02"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	718	281548	310.3	255.0
	"All Sites Combined"	"00"	"Alaska"	"02"	"Female"	"F"	"Black or African American"	"2054-5"	329	177009	360.0	185.9
	"All Sites Combined"	"00"	"Alaska"	"02"	"Female"	"F"	"White"	"2106-3"	10850	2987209	427.8	363.2
	"All Sites Combined"	"00"	"Alaska"	"02"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	526	255851	391.4	205.6
	"All Sites Combined"	"00"	"Alaska"	"02"	"Male"	"M"	"Black or African American"	"2054-5"	504	201330	603.1	250.3
	"All Sites Combined"	"00"	"Alaska"	"02"	"Male"	"M"	"White"	"2106-3"	13153	3297822	539.3	398.8
	"All Sites Combined"	"00"	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	2082	1165180	224.9	178.7
	"All Sites Combined"	"00"	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	3485	1548071	335.6	225.1
	"All Sites Combined"	"00"	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	144412	33111269	378.2	436.1
	"All Sites Combined"	"00"	"Arizona"	"04"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1472	1054658	252.4	139.6
	"All Sites Combined"	"00"	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	4086	1683233	454.5	242.7
	"All Sites Combined"	"00"	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	155463	32852345	458.4	473.2
	"All Sites Combined"	"00"	"Arkansas"	"05"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	337	201219	282.2	167.5
	"All Sites Combined"	"00"	"Arkansas"	"05"	"Female"	"F"	"Black or African American"	"2054-5"	7510	2369184	369.0	317.0
	"All Sites Combined"	"00"	"Arkansas"	"05"	"Female"	"F"	"White"	"2106-3"	56296	11702933	384.7	481.0
	"All Sites Combined"	"00"	"Arkansas"	"05"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	267	184781	328.3	144.5
	"All Sites Combined"	"00"	"Arkansas"	"05"	"Male"	"M"	"Black or African American"	"2054-5"	8783	2140382	599.6	410.3
	"All Sites Combined"	"00"	"Arkansas"	"05"	"Male"	"M"	"White"	"2106-3"	68119	11395424	539.5	597.8
	"All Sites Combined"	"00"	"California"	"06"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	92970	33023849	289.5	281.5
	"All Sites Combined"	"00"	"California"	"06"	"Female"	"F"	"Black or African American"	"2054-5"	58268	17285540	395.8	337.1
	"All Sites Combined"	"00"	"California"	"06"	"Female"	"F"	"White"	"2106-3"	777229	179093638	417.2	434.0
	"All Sites Combined"	"00"	"California"	"06"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	82200	30349252	343.8	270.8
	"All Sites Combined"	"00"	"California"	"06"	"Male"	"M"	"Black or African American"	"2054-5"	67618	16750683	591.0	403.7
	"All Sites Combined"	"00"	"California"	"06"	"Male"	"M"	"White"	"2106-3"	813825	180118309	526.5	451.8
	"All Sites Combined"	"00"	"Colorado"	"08"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1940	989465	260.7	196.1
	"All Sites Combined"	"00"	"Colorado"	"08"	"Female"	"F"	"Black or African American"	"2054-5"	3346	1344573	355.0	248.9
	"All Sites Combined"	"00"	"Colorado"	"08"	"Female"	"F"	"White"	"2106-3"	113628	27437536	402.5	414.1
	"All Sites Combined"	"00"	"Colorado"	"08"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1353	869388	292.2	155.6
	"All Sites Combined"	"00"	"Colorado"	"08"	"Male"	"M"	"Black or African American"	"2054-5"	4364	1463809	531.0	298.1
	"All Sites Combined"	"00"	"Colorado"	"08"	"Male"	"M"	"White"	"2106-3"	117412	27691573	497.6	424.0
	"All Sites Combined"	"00"	"Connecticut"	"09"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1398	818243	252.1	170.9
	"All Sites Combined"	"00"	"Connecticut"	"09"	"Female"	"F"	"Black or African American"	"2054-5"	8121	2600498	388.8	312.3
	"All Sites Combined"	"00"	"Connecticut"	"09"	"Female"	"F"	"White"	"2106-3"	117444	19869290	465.3	591.1
	"All Sites Combined"	"00"	"Connecticut"	"09"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1177	786212	275.3	149.7
	"All Sites Combined"	"00"	"Connecticut"	"09"	"Male"	"M"	"Black or African American"	"2054-5"	8955	2370109	607.9	377.8
	"All Sites Combined"	"00"	"Connecticut"	"09"	"Male"	"M"	"White"	"2106-3"	118518	18836257	586.3	629.2
	"All Sites Combined"	"00"	"Delaware"	"10"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	169669	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Delaware"	"10"	"Female"	"F"	"Black or African American"	"2054-5"	4370	1243727	422.1	351.4
	"All Sites Combined"	"00"	"Delaware"	"10"	"Female"	"F"	"White"	"2106-3"	23934	4204706	451.6	569.2
	"All Sites Combined"	"00"	"Delaware"	"10"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	158200	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Delaware"	"10"	"Male"	"M"	"Black or African American"	"2054-5"	5070	1117794	663.2	453.6
	"All Sites Combined"	"00"	"Delaware"	"10"	"Male"	"M"	"White"	"2106-3"	26567	4013576	591.7	661.9
	"All Sites Combined"	"00"	"District of Columbia"	"11"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	254	129268	275.3	196.5
	"All Sites Combined"	"00"	"District of Columbia"	"11"	"Female"	"F"	"Black or African American"	"2054-5"	10251	1985307	440.8	516.3
	"All Sites Combined"	"00"	"District of Columbia"	"11"	"Female"	"F"	"White"	"2106-3"	4455	1239751	403.7	359.3
	"All Sites Combined"	"00"	"District of Columbia"	"11"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	208	100183	374.1	207.6
	"All Sites Combined"	"00"	"District of Columbia"	"11"	"Male"	"M"	"Black or African American"	"2054-5"	10652	1652044	662.3	644.8
	"All Sites Combined"	"00"	"District of Columbia"	"11"	"Male"	"M"	"White"	"2106-3"	4450	1244686	443.5	357.5
	"All Sites Combined"	"00"	"Florida"	"12"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	5647	3029035	216.7	186.4
	"All Sites Combined"	"00"	"Florida"	"12"	"Female"	"F"	"Black or African American"	"2054-5"	57776	19240263	369.6	300.3
	"All Sites Combined"	"00"	"Florida"	"12"	"Female"	"F"	"White"	"2106-3"	560738	94168990	419.9	595.5
	"All Sites Combined"	"00"	"Florida"	"12"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	4281	2659377	239.5	161.0
	"All Sites Combined"	"00"	"Florida"	"12"	"Male"	"M"	"Black or African American"	"2054-5"	66737	17861137	573.3	373.6
	"All Sites Combined"	"00"	"Florida"	"12"	"Male"	"M"	"White"	"2106-3"	642823	90701923	544.1	708.7
	"All Sites Combined"	"00"	"Georgia"	"13"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	3157	1830996	249.3	172.4
	"All Sites Combined"	"00"	"Georgia"	"13"	"Female"	"F"	"Black or African American"	"2054-5"	56489	18818616	380.1	300.2
	"All Sites Combined"	"00"	"Georgia"	"13"	"Female"	"F"	"White"	"2106-3"	175207	38589303	415.3	454.0
	"All Sites Combined"	"00"	"Georgia"	"13"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2559	1748288	288.3	146.4
	"All Sites Combined"	"00"	"Georgia"	"13"	"Male"	"M"	"Black or African American"	"2054-5"	63269	16705197	645.0	378.7
	"All Sites Combined"	"00"	"Georgia"	"13"	"Male"	"M"	"White"	"2106-3"	193716	38427644	559.6	504.1
	"All Sites Combined"	"00"	"Hawaii"	"15"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	26251	6236232	364.3	420.9
	"All Sites Combined"	"00"	"Hawaii"	"15"	"Female"	"F"	"Black or African American"	"2054-5"	239	179818	310.8	132.9
	"All Sites Combined"	"00"	"Hawaii"	"15"	"Female"	"F"	"White"	"2106-3"	10715	1903357	454.2	563.0
	"All Sites Combined"	"00"	"Hawaii"	"15"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	26124	5903372	438.7	442.5
	"All Sites Combined"	"00"	"Hawaii"	"15"	"Male"	"M"	"Black or African American"	"2054-5"	509	252999	464.3	201.2
